,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,price
28,3,1.75,1520,6380.0,1.0,0,0,3,7,790,730,1948,0,98115,47.695,-122.304,1520,6235.0,438000
29,4,2.5,2570,7173.0,2.0,0,0,3,8,2570,0,2005,0,98052,47.7073,-122.11,2630,6026.0,719000
30,3,2.5,2320,3980.0,2.0,0,0,3,8,2320,0,2003,0,98027,47.5391,-122.07,2580,3980.0,580500
31,2,1.5,1190,1265.0,3.0,0,0,3,7,1190,0,2005,0,98133,47.7274,-122.357,1390,1756.0,280000
32,4,1.75,2330,5000.0,1.5,0,0,4,7,1510,820,1929,0,98117,47.6823,-122.368,1460,5000.0,687500
33,3,1.0,1090,3000.0,1.5,0,0,4,8,1090,0,1929,0,98117,47.6889,-122.375,1570,5080.0,535000
34,4,2.75,2060,6659.0,1.0,0,0,3,7,1280,780,1981,0,98058,47.4276,-122.157,2020,8720.0,322500
35,3,2.5,2300,3060.0,1.5,0,0,3,8,1510,790,1930,2002,98115,47.6827,-122.31,1590,3264.0,696000
37,4,2.0,2360,6000.0,2.0,0,0,4,8,2360,0,1904,0,98107,47.6702,-122.362,1730,4700.0,640000
38,4,1.0,1220,8075.0,1.0,0,0,2,7,890,330,1969,0,98001,47.3341,-122.282,1290,7800.0,240000
39,4,2.5,2620,7553.0,2.0,0,0,3,8,2620,0,1996,0,98056,47.5301,-122.18,2620,11884.0,605000
40,4,2.5,2570,5520.0,2.0,0,0,3,9,2570,0,2000,0,98074,47.6145,-122.027,2470,5669.0,625000
42,5,2.75,3595,5639.0,2.0,0,0,3,9,3595,0,2014,0,98053,47.6848,-122.016,3625,5639.0,861990
43,3,1.0,1570,2280.0,2.0,0,0,3,7,1570,0,1922,0,98119,47.6413,-122.364,1580,2640.0,685000
44,3,1.0,1280,9656.0,1.0,0,0,4,6,920,360,1959,0,98058,47.4485,-122.175,1340,8808.0,309000
45,3,2.5,3160,13603.0,2.0,0,0,3,8,3160,0,2003,0,98019,47.7443,-121.977,3050,9232.0,488000
46,3,1.0,990,8528.0,1.0,0,0,3,6,990,0,1966,0,98023,47.3066,-122.371,1228,8840.0,210490
47,4,2.5,2290,13416.0,2.0,0,0,4,9,2290,0,1981,0,98007,47.6194,-122.151,2680,13685.0,785000
48,3,1.75,1250,5963.0,1.0,0,0,4,7,1250,0,1953,0,98115,47.6796,-122.301,970,5100.0,450000
50,3,1.0,1190,9199.0,1.0,0,0,3,7,1190,0,1955,0,98148,47.4258,-122.322,1190,9364.0,228000
51,5,2.5,3150,9134.0,1.0,0,0,4,8,1640,1510,1966,0,98056,47.4934,-122.189,1990,9133.0,345000
52,3,1.75,1410,4080.0,1.0,0,0,4,7,1000,410,1950,0,98117,47.6808,-122.384,1410,4080.0,600000
53,2,1.75,1980,8550.0,1.0,0,0,3,7,990,990,1981,0,98117,47.6989,-122.369,1480,6738.0,585000
54,5,2.25,2730,6000.0,1.5,0,0,3,8,2130,600,1927,0,98105,47.6571,-122.281,2730,6000.0,920000
55,4,2.5,2830,5000.0,2.0,0,0,3,9,2830,0,1995,0,98105,47.6597,-122.29,1950,5000.0,885000
56,4,2.5,2250,4495.0,2.0,0,0,3,7,2250,0,2008,0,98042,47.3663,-122.114,2250,4500.0,292500
57,3,2.5,2420,4750.0,2.0,0,0,3,8,2420,0,2003,0,98042,47.3663,-122.122,2690,4750.0,301000
58,5,3.25,3250,14342.0,2.0,0,4,4,8,3250,0,1968,0,98008,47.588,-122.116,2960,11044.0,951000
59,4,3.0,1850,9976.0,2.0,0,0,3,8,1850,0,1991,0,98059,47.5059,-122.149,2270,8542.0,430000
61,3,1.75,1260,8400.0,1.0,0,0,3,7,1260,0,1954,0,98148,47.4366,-122.335,1290,8750.0,289000
62,3,1.75,2519,8690.0,2.0,0,0,5,8,2519,0,1973,0,98166,47.4428,-122.344,2500,9500.0,505000
63,3,1.75,1540,1044.0,3.0,0,0,3,8,1540,0,2014,0,98115,47.6765,-122.32,1580,3090.0,549000
64,3,2.25,1660,6000.0,1.0,0,0,3,7,1110,550,1979,0,98122,47.6113,-122.297,1440,4080.0,425000
65,3,2.75,2770,3809.0,1.5,0,0,5,7,1770,1000,1925,0,98144,47.5747,-122.304,1440,4000.0,317625
66,4,2.5,2720,11049.0,2.0,0,0,3,10,2720,0,1989,0,98004,47.5815,-122.192,2750,11049.0,975000
67,4,2.5,2240,4648.0,2.0,0,0,3,7,2240,0,2005,0,98001,47.3378,-122.257,2221,4557.0,287000
68,3,1.0,1000,12070.0,1.0,0,0,4,7,1000,0,1968,0,98042,47.3621,-122.11,1010,12635.0,204000
71,3,2.0,1260,5612.0,1.0,0,0,4,7,1260,0,1972,0,98034,47.7362,-122.179,1640,4745.0,325000
72,4,2.0,2750,7807.0,1.5,0,0,5,7,2250,500,1916,0,98125,47.7168,-122.287,1510,7807.0,571000
73,4,2.5,2380,5000.0,2.0,0,0,3,8,2380,0,2005,0,98038,47.3608,-122.036,2420,5000.0,360000
76,4,1.75,1760,7300.0,1.0,0,0,3,7,880,880,1956,0,98008,47.6034,-122.125,1680,7500.0,380000
77,3,1.0,1040,5060.0,1.0,0,0,3,7,1040,0,1941,0,98116,47.5636,-122.394,890,5060.0,480000
78,3,1.0,1410,5060.0,1.0,0,0,4,7,910,500,1956,0,98133,47.7073,-122.34,1130,5693.0,410000
80,3,2.5,2350,5100.0,2.0,0,0,3,8,2350,0,2003,0,98038,47.3512,-122.008,2350,5363.0,390000
81,4,2.5,1900,5889.0,2.0,0,0,3,7,1900,0,1992,0,98038,47.349,-122.031,1870,6405.0,360000
82,2,1.0,2020,6720.0,1.0,0,0,3,7,1010,1010,1948,0,98118,47.5474,-122.291,1720,6720.0,355000
83,3,1.5,1680,8712.0,1.0,0,0,3,8,1680,0,1964,0,98059,47.4811,-122.149,1850,8797.0,356000
84,3,1.0,960,6634.0,1.0,0,0,3,6,960,0,1952,0,98125,47.7264,-122.31,1570,7203.0,315000
85,3,1.5,2140,3600.0,2.0,0,0,3,9,1900,240,1925,0,98119,47.6337,-122.365,2020,4800.0,940000
86,5,2.25,2660,8400.0,1.5,0,0,5,7,2660,0,1961,0,98092,47.2909,-122.189,1590,8165.0,305000
87,3,3.25,2770,6278.0,2.0,0,0,3,9,1980,790,2006,0,98056,47.5228,-122.199,1900,7349.0,461000
88,2,2.25,1610,2040.0,2.0,0,0,4,7,1610,0,1979,0,98056,47.518,-122.194,1950,2025.0,215000
89,2,1.75,1030,1066.0,2.0,0,0,3,7,765,265,2006,0,98136,47.5394,-122.387,1030,1106.0,335000
90,4,2.5,1980,7403.0,2.0,0,0,3,7,1980,0,1988,0,98023,47.2897,-122.372,1980,7510.0,243500
91,5,2.75,3520,6353.0,2.0,0,0,4,10,3520,0,2001,0,98199,47.6506,-122.391,2520,6250.0,1100000
92,3,1.0,1200,10500.0,1.0,0,0,3,7,1200,0,1962,0,98023,47.322,-122.351,1350,10500.0,153000
93,3,1.5,1580,5000.0,1.0,0,0,3,8,1290,290,1939,0,98117,47.687,-122.386,1570,4500.0,430000
94,3,1.5,1580,5000.0,1.0,0,0,3,8,1290,290,1939,0,98117,47.687,-122.386,1570,4500.0,700000
95,4,2.5,3300,10250.0,1.0,0,0,3,7,2390,910,1946,1991,98040,47.5873,-122.249,1950,6045.0,905000
96,3,1.75,1960,15681.0,1.0,0,0,3,7,1960,0,1967,0,98032,47.3576,-122.277,1750,15616.0,247500
97,4,1.5,1160,6400.0,1.0,0,0,4,7,1160,0,1975,0,98023,47.3036,-122.378,1160,6400.0,199000
100,3,2.5,2070,13241.0,1.5,0,0,5,9,1270,800,1910,0,98102,47.6415,-122.315,2200,4500.0,850830
101,3,2.0,1980,3478.0,1.5,0,0,4,7,1440,540,1929,0,98117,47.6775,-122.372,1610,3478.0,555000
103,3,2.5,2920,8113.0,2.0,0,0,3,8,2920,0,1950,2010,98004,47.5814,-122.196,2370,8113.0,1090000
105,3,2.5,2340,10005.0,1.0,0,0,4,8,1460,880,1978,0,98058,47.4431,-122.133,2250,8162.0,375000
106,3,1.0,1670,4005.0,1.5,0,0,4,7,1170,500,1939,0,98117,47.6878,-122.38,1240,4005.0,460000
107,2,1.75,1240,2493.0,1.0,0,0,4,8,1240,0,1985,0,98198,47.3813,-122.322,1270,4966.0,188500
109,5,1.75,2030,12342.0,2.0,0,0,4,7,2030,0,1942,0,98052,47.6417,-122.109,2500,9433.0,470000
110,4,2.5,2310,9624.0,2.0,0,0,3,8,2310,0,1984,0,98027,47.5386,-122.053,1940,9636.0,597750
111,3,1.75,1260,3328.0,1.0,0,0,5,6,700,560,1905,0,98103,47.6823,-122.349,1380,3536.0,570000
112,3,1.75,1540,12600.0,1.0,0,0,4,7,1160,380,1980,0,98038,47.3624,-122.031,1540,11656.0,272500
113,3,1.75,2080,5969.0,1.0,0,2,3,7,1080,1000,1971,0,98108,47.5474,-122.295,2090,5500.0,329950
114,4,2.5,3230,16171.0,2.0,0,3,3,9,2520,710,2001,0,98001,47.3183,-122.253,2640,8517.0,480000
115,3,3.5,4380,6350.0,2.0,0,0,3,8,2780,1600,1900,1999,98117,47.6981,-122.368,1830,6350.0,740500
116,3,3.5,1590,1102.0,3.0,0,0,3,8,1590,0,2010,0,98103,47.6824,-122.347,1620,3166.0,518500
117,2,1.0,880,6780.0,1.0,0,0,4,6,880,0,1945,0,98178,47.5009,-122.248,1190,6780.0,205425
118,4,2.0,1570,9600.0,1.0,0,0,3,6,1570,0,1950,0,98168,47.4965,-122.303,1880,9000.0,171800
119,4,1.0,1610,2982.0,1.5,0,0,4,7,1610,0,1925,0,98144,47.587,-122.294,1610,4040.0,535000
120,3,2.5,2400,6474.0,1.0,0,2,3,8,1560,840,1964,0,98177,47.7728,-122.386,2340,10856.0,660000
121,3,2.0,1450,9132.0,1.0,0,0,3,7,1450,0,1987,0,98034,47.7288,-122.226,1580,9104.0,391500
122,2,1.0,770,6000.0,1.0,0,0,3,6,770,0,1953,0,98117,47.6999,-122.364,1710,6000.0,395000
123,4,1.75,2100,4400.0,1.5,0,0,5,7,1720,380,1924,0,98118,47.5299,-122.266,1850,4400.0,445000
124,3,2.25,2910,10204.0,2.0,0,0,3,9,2910,0,1990,0,98052,47.6897,-122.098,2700,13992.0,770000
125,4,2.75,2750,17789.0,1.5,0,0,3,8,1980,770,1914,1992,98004,47.6141,-122.212,3060,11275.0,1450000
126,3,2.25,2100,8201.0,1.0,0,2,3,8,1620,480,1967,0,98178,47.5091,-122.244,2660,8712.0,445000
127,4,2.25,2160,8811.0,1.0,0,0,3,8,1360,800,1978,0,98023,47.3129,-122.39,2090,8400.0,260000
128,5,3.5,2320,4960.0,2.0,0,0,5,7,1720,600,1926,0,98103,47.6763,-122.352,1700,4960.0,822500
129,4,2.5,2070,4310.0,2.0,0,0,3,7,2070,0,2004,0,98065,47.5319,-121.85,1970,3748.0,430000
130,3,1.75,1060,7875.0,1.0,0,0,4,7,1060,0,1986,0,98092,47.2761,-122.152,1420,7680.0,212000
131,4,2.25,2010,9603.0,1.0,0,0,3,8,1440,570,1986,0,98027,47.5343,-122.054,2060,9793.0,660500
133,3,2.5,2010,2287.0,2.0,0,0,3,8,1390,620,2014,0,98029,47.5517,-121.998,1690,1662.0,453246
134,4,3.5,2140,2278.0,3.0,0,0,3,9,2140,0,2005,0,98107,47.6734,-122.38,1540,2285.0,675000
136,4,1.75,2020,7840.0,1.0,0,0,3,7,1010,1010,1968,0,98003,47.3309,-122.299,1750,8140.0,220000
137,4,2.25,2590,10002.0,1.0,0,0,4,8,1340,1250,1968,0,98028,47.7689,-122.266,1550,10436.0,452000
138,2,1.0,1190,4440.0,1.0,0,0,3,6,1190,0,1981,0,98125,47.7135,-122.287,1060,5715.0,382500
139,3,2.25,1170,1249.0,3.0,0,0,3,8,1170,0,2014,0,98107,47.6722,-122.381,1350,1310.0,519950
140,2,1.0,1110,3200.0,1.0,0,0,3,7,1110,0,1925,0,98119,47.6338,-122.358,1170,3600.0,665000
141,5,2.5,2820,9375.0,1.0,0,0,4,8,1550,1270,1968,0,98006,47.5707,-122.128,2820,9375.0,527700
142,3,1.0,1610,8579.0,1.0,0,0,4,7,1010,600,1962,0,98058,47.4563,-122.171,1610,8579.0,205000
143,3,1.0,1060,8097.0,1.0,0,0,4,7,940,120,1923,0,98133,47.7144,-122.351,1560,7940.0,420000
144,4,2.25,2030,8517.0,1.0,0,0,4,8,1380,650,1961,0,98006,47.5495,-122.174,2230,8824.0,500000
146,4,1.0,2550,4000.0,2.0,0,0,3,8,2370,180,1905,0,98109,47.6354,-122.353,2200,4000.0,890000
149,3,1.0,1430,3455.0,1.0,0,0,3,7,980,450,1947,0,98103,47.6873,-122.336,1450,4599.0,511000
150,3,2.0,1360,3090.0,2.0,0,0,3,8,1360,0,1990,0,98103,47.6838,-122.353,1500,3090.0,532170
151,3,1.0,1110,5000.0,1.5,0,0,3,7,1110,0,1947,0,98107,47.655,-122.359,1420,5000.0,560000
152,3,1.0,1250,8200.0,1.0,0,0,4,7,1250,0,1954,0,98003,47.3255,-122.304,1680,8633.0,282950
154,1,1.0,700,5100.0,1.0,0,0,3,7,700,0,1942,0,98115,47.679,-122.3,1010,5100.0,350000
155,3,1.0,1180,7669.0,1.0,0,0,4,7,1180,0,1967,0,98058,47.4479,-122.176,1190,7669.0,215000
157,4,2.75,2640,7500.0,1.0,0,0,3,8,1620,1020,1967,0,98023,47.3135,-122.369,1980,7875.0,320000
158,3,2.0,1270,7198.0,1.5,0,0,3,7,1270,0,1916,2013,98022,47.2086,-121.996,1160,7198.0,247000
159,4,1.75,1760,11180.0,1.0,0,0,4,8,1760,0,1968,0,98059,47.4715,-122.118,1730,11180.0,320000
160,5,2.25,2060,8632.0,1.0,0,0,3,7,1030,1030,1962,0,98146,47.4877,-122.335,1010,11680.0,255000
161,3,1.75,1780,9660.0,1.0,0,0,3,7,1780,0,1962,0,98034,47.7171,-122.193,1200,9660.0,438000
162,3,2.5,3400,16603.0,2.0,0,0,3,10,3400,0,2000,0,98075,47.6012,-122.023,3400,12601.0,900000
163,3,2.75,1910,7280.0,1.0,0,0,3,7,1160,750,1979,0,98034,47.7319,-122.224,1710,8152.0,441000
165,3,1.75,1580,7000.0,1.0,0,0,3,7,1180,400,1976,0,98034,47.7209,-122.168,1640,7500.0,370000
166,2,1.75,1340,7250.0,1.0,0,0,5,5,700,640,1949,0,98198,47.408,-122.327,1830,9750.0,269950
167,4,2.5,2680,4499.0,2.0,0,0,3,9,2680,0,1999,0,98006,47.565,-122.125,2920,4500.0,807100
168,3,2.5,2680,9750.0,1.0,0,0,4,8,1610,1070,1979,0,98034,47.7028,-122.231,2480,8750.0,653000
169,3,2.0,1370,8336.0,1.0,0,0,5,7,1370,0,1964,0,98133,47.7458,-122.331,1770,7288.0,371500
171,3,1.75,2160,7140.0,1.0,0,0,4,7,1670,490,1978,0,98023,47.3026,-122.374,1930,7350.0,272000
172,3,1.5,1340,7912.0,1.5,0,0,3,7,1340,0,1955,0,98133,47.7658,-122.339,1480,7940.0,313000
174,4,2.25,2590,8190.0,2.0,0,0,4,8,2590,0,1980,0,98006,47.5619,-122.125,2260,8335.0,673000
175,3,2.5,1120,1100.0,2.0,0,0,3,8,820,300,2008,0,98122,47.6106,-122.31,1590,1795.0,425000
176,5,2.75,1970,5400.0,1.0,0,0,3,7,1320,650,1986,0,98144,47.5868,-122.308,1280,2150.0,399950
177,3,1.0,1220,4800.0,1.0,0,0,3,6,1220,0,1901,0,98122,47.6101,-122.307,1200,4800.0,385000
178,3,1.5,1950,7560.0,1.0,0,2,4,7,1320,630,1975,0,98022,47.1976,-121.999,1950,8941.0,269950
179,2,1.0,1350,8220.0,1.0,0,0,3,7,1060,290,1949,0,98177,47.7224,-122.358,1540,8280.0,330000
180,3,2.5,1670,5797.0,2.0,0,0,3,7,1670,0,1988,0,98030,47.3505,-122.179,1670,6183.0,260000
181,4,3.0,2380,5125.0,1.5,0,0,4,7,1680,700,1925,0,98126,47.5384,-122.376,1410,5375.0,470000
182,4,3.0,2440,9600.0,2.0,0,0,5,7,2440,0,1961,0,98034,47.7044,-122.2,2290,9600.0,589000
183,2,1.5,1050,3419.0,2.0,0,0,3,7,1050,0,1996,0,98038,47.3848,-122.039,1050,3417.0,163500
184,4,2.75,3130,13412.0,2.0,0,0,3,9,2140,990,1993,0,98052,47.6993,-122.102,2260,9984.0,835000
185,5,3.0,4090,12850.0,1.0,0,2,4,10,2090,2000,1986,0,98033,47.6627,-122.188,2540,10270.0,1100000
186,4,1.75,1490,10000.0,1.0,0,0,4,8,1100,390,1969,0,98023,47.3099,-122.379,2190,8910.0,269000
187,3,2.5,1900,8744.0,2.0,0,0,3,8,1900,0,1987,0,98074,47.62,-122.043,2030,8744.0,560000
188,4,1.0,1330,2400.0,1.5,0,0,4,6,1330,0,1901,0,98103,47.65,-122.34,1330,4400.0,615000
189,3,2.25,2230,10026.0,1.0,0,0,3,8,1430,800,1975,0,98052,47.6647,-122.153,2230,9340.0,585188
190,3,1.75,1650,9480.0,1.0,0,0,3,7,1220,430,1977,0,98034,47.726,-122.191,1540,8400.0,305000
191,3,1.0,1190,8820.0,1.0,0,0,3,6,1190,0,1959,0,98058,47.4616,-122.184,1230,7980.0,166950
192,3,2.5,2140,9897.0,1.0,0,0,4,8,2140,0,1959,0,98040,47.5505,-122.219,2680,10083.0,799000
193,3,2.5,2180,7508.0,1.0,0,0,4,7,1420,760,1962,0,98133,47.7606,-122.336,1900,7818.0,400000
194,3,1.0,1060,10228.0,1.0,0,0,3,7,1060,0,1948,0,98155,47.7481,-122.3,1570,10228.0,230000
195,3,2.5,1690,5025.0,2.0,0,0,3,8,1690,0,2003,0,98023,47.2779,-122.347,2550,5001.0,256883
196,4,2.0,1970,6480.0,1.5,0,0,5,7,1130,840,1920,0,98108,47.5511,-122.312,1500,6480.0,423000
197,3,2.5,2150,4084.0,2.0,0,0,3,8,2150,0,2007,0,98126,47.5488,-122.372,1750,2385.0,465000
200,3,1.0,860,11725.0,1.0,0,0,4,6,860,0,1943,0,98056,47.5093,-122.184,1300,9514.0,210000
201,3,2.5,1940,14952.0,2.0,0,0,3,8,1940,0,1994,0,98042,47.3777,-122.165,2030,10450.0,297000
202,3,1.0,1010,5000.0,1.0,0,0,3,7,1010,0,1952,0,98107,47.675,-122.394,1680,5000.0,470000
203,3,1.5,1300,7370.0,1.0,0,0,4,7,900,400,1976,0,98023,47.3025,-122.37,1430,7500.0,226500
204,3,1.0,910,8450.0,1.0,0,0,4,6,910,0,1962,0,98059,47.4787,-122.158,1400,8040.0,274250
205,4,1.75,2480,11010.0,1.0,0,0,4,9,1630,850,1966,0,98040,47.5378,-122.219,2770,10744.0,840000
206,3,2.5,2440,4587.0,2.0,0,0,3,8,2440,0,2010,0,98052,47.7073,-122.114,2750,4587.0,677900
207,3,1.0,1010,5864.0,1.0,0,0,3,7,1010,0,1915,0,98116,47.5733,-122.381,1290,5000.0,425000
208,2,0.75,900,9600.0,1.0,0,0,3,6,900,0,1941,0,98166,47.4604,-122.339,1250,14280.0,180250
209,6,3.0,2300,3404.0,2.0,0,0,3,7,1600,700,1920,1994,98133,47.7067,-122.343,1560,1312.0,464000
210,4,2.25,1550,7579.0,2.0,0,0,3,8,1550,0,1993,0,98038,47.354,-122.047,1630,6397.0,320000
211,3,2.25,1270,1566.0,2.0,0,0,3,8,1060,210,2014,0,98105,47.6647,-122.284,1160,1327.0,625504
212,4,2.5,2240,12032.0,1.0,0,0,3,9,2240,0,1983,0,98074,47.6143,-122.017,2520,12368.0,592500
214,4,2.75,1720,6270.0,2.0,0,0,3,8,1720,0,1978,0,98118,47.5458,-122.268,2130,8700.0,477000
215,2,1.0,850,16400.0,1.0,0,0,3,6,850,0,1923,0,98168,47.4889,-122.299,1100,14459.0,280000
217,3,2.5,2250,5692.0,2.0,0,0,3,8,2250,0,2000,0,98146,47.5133,-122.379,1320,5390.0,445838
218,2,2.25,3900,14864.0,1.0,0,3,3,8,1950,1950,1947,0,98144,47.5884,-122.291,2580,5184.0,1070000
219,2,1.5,1320,10800.0,1.0,0,0,4,8,1320,0,1947,0,98177,47.7145,-122.367,2120,12040.0,467000
220,4,2.5,2760,6440.0,2.0,0,0,3,10,2760,0,1999,0,98075,47.5836,-122.026,3070,8127.0,686000
221,3,2.0,1750,9750.0,1.0,0,0,3,7,1350,400,1961,0,98198,47.398,-122.299,1900,10125.0,279950
223,3,2.25,2220,16020.0,1.0,0,0,4,8,1780,440,1966,0,98030,47.3758,-122.217,2080,9583.0,325000
224,3,2.25,2020,8379.0,2.0,0,0,3,7,2020,0,1994,0,98038,47.3828,-122.023,2020,8031.0,328000
225,3,2.25,1250,7500.0,1.0,0,0,5,7,1250,0,1942,0,98146,47.5123,-122.373,1280,7392.0,390000
226,2,2.0,1510,6516.0,1.0,0,0,3,8,1510,0,2005,0,98053,47.7076,-122.013,1640,6009.0,479950
227,4,2.25,1720,9753.0,1.0,0,0,4,7,1120,600,1978,0,98023,47.2922,-122.371,1510,9753.0,264950
228,3,1.0,1430,15246.0,1.0,0,0,4,7,980,450,1961,0,98031,47.4075,-122.214,1960,13068.0,235000
229,3,2.5,1480,4729.0,2.0,0,0,3,7,1480,0,2004,0,98053,47.6794,-122.034,2250,4729.0,516500
230,2,1.75,1450,15798.0,2.0,1,4,3,7,1230,220,1915,1978,98166,47.4497,-122.375,2030,13193.0,655000
231,4,2.75,2280,15347.0,1.0,0,0,5,7,2280,0,1960,0,98059,47.5218,-122.164,2280,15347.0,500000
232,6,2.75,2940,7350.0,1.0,0,0,3,8,1780,1160,1978,0,98023,47.3103,-122.339,2120,8236.0,315000
233,2,1.0,1000,10200.0,1.0,0,0,3,6,1000,0,1961,0,98024,47.5687,-121.899,1150,13702.0,213000
234,3,1.5,2480,5280.0,1.5,0,0,5,7,1620,860,1947,0,98108,47.5575,-122.303,2090,4800.0,475000
237,4,1.0,1970,4740.0,1.5,0,0,3,7,1670,300,1904,2005,98122,47.6136,-122.303,1510,4740.0,410000
239,6,2.5,4410,14034.0,1.0,0,2,4,9,2350,2060,1965,0,98003,47.3376,-122.324,2600,13988.0,472000
240,3,1.75,1430,8505.0,1.0,0,0,4,7,1430,0,1968,0,98003,47.3173,-122.319,1190,8640.0,225000
241,2,1.0,830,6000.0,1.0,0,0,3,6,830,0,1940,0,98126,47.5308,-122.376,830,4960.0,210000
242,2,1.0,1430,5000.0,1.5,0,0,2,7,1430,0,1925,0,98115,47.6727,-122.299,1450,3750.0,455000
243,3,1.0,1300,8316.0,1.0,0,0,4,6,1300,0,1954,0,98002,47.3221,-122.216,1260,8316.0,225000
244,2,1.0,1030,3060.0,1.0,0,2,4,7,790,240,1918,0,98103,47.6779,-122.353,1390,3060.0,480000
245,3,2.5,2740,11872.0,2.0,0,0,3,9,2740,0,1990,0,98023,47.3076,-122.395,2570,10377.0,363000
247,2,1.5,720,5120.0,1.0,0,0,3,6,720,0,1954,0,98106,47.5218,-122.357,1150,2566.0,181000
248,4,2.0,2010,7312.0,1.0,0,0,4,7,2010,0,1976,0,98002,47.2785,-122.213,2010,7650.0,250000
249,3,1.75,1560,3000.0,1.0,0,0,4,6,770,790,1918,0,98103,47.6846,-122.345,1390,3000.0,481000
250,3,2.0,1810,7209.0,1.0,0,0,4,7,1240,570,1978,0,98032,47.3656,-122.278,1750,7209.0,260000
251,4,2.5,3360,7685.0,2.0,0,0,3,9,3360,0,2001,0,98058,47.4369,-122.111,3060,6567.0,455000
253,3,1.0,1400,3538.0,1.0,0,0,3,7,800,600,1953,0,98118,47.5405,-122.27,1620,6331.0,349500
254,3,2.5,1730,7442.0,2.0,0,0,3,7,1730,0,1987,0,98030,47.3507,-122.178,1630,6458.0,245000
255,2,2.0,1420,9191.0,1.5,0,2,5,7,1420,0,1928,0,98115,47.6979,-122.32,1420,6816.0,592500
256,4,1.75,2360,7620.0,1.0,0,0,4,7,1180,1180,1955,0,98106,47.5278,-122.345,1910,7620.0,385000
257,3,1.75,1580,11455.0,1.0,0,0,4,7,1200,380,1974,0,98059,47.4756,-122.147,1550,10650.0,315000
258,3,1.0,1230,10170.0,1.0,0,0,3,7,1230,0,1979,0,98045,47.4437,-121.772,1380,10098.0,255000
259,4,2.5,2460,4425.0,2.0,0,0,3,8,2460,0,2006,0,98052,47.7048,-122.109,2990,5659.0,693000
